Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"I Love Rock 'N Roll";"Joan Jett";1981;0;0;2007-05-04;Rock
"Twinkle Twinkle Little Star";"Nursery Rhyme";1806;0;0;2008-06-26;Kids,Traditionnal
"What A Wonderful World";"Louis Armstrong";1968;0;0;2007-05-29;Pop,Oldies
"Lean On";"Major Lazer";2015;0;0;2015-06-15;Dance,Electro,Pop,Rap
"Hold Back The River";"James Bay";2014;0;0;2014-12-12;Pop,Rock
"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz
"Cotton Eye Joe";"Lee Matthews";2014;0;0;2015-08-18;Country
"Place des grands hommes";"Patrick Bruel";1989;0;0;2013-12-09;"French pop"
Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative
"Have You Ever Seen The Rain?";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk
"Ain't No Sunshine";"Bill Withers";1971;0;0;2011-10-31;Soul,Blues
Chandelier;Sia;2014;0;0;2014-05-26;Pop,R&B
Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock
Rude;MAGIC!;2013;0;0;2014-01-20;Pop,Reggae
"Your Song";"Elton John";1969;0;0;2011-10-28;Pop,Love
"Get Lucky";"Daft Punk";2013;0;0;2013-04-30;Disco,Funk
"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Pop,Love"
"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock"
Summertime;"Ella Fitzgerald";1960;0;0;2008-05-06;Jazz,Soul
Jackson;"Johnny Cash";1968;1;0;2012-02-14;Country,Duet
"Les sardines";"Patrick Sébastien";2006;0;0;2014-02-07;"French pop"
"Jim And Jack And Hank";"Alan Jackson";2015;0;0;2015-08-25;Country
Titanium;"David Guetta";2011;0;0;2012-05-09;Pop,Electro
"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock
Imagine;"John Lennon";1971;0;0;2007-05-15;"Pop,Soft rock"
"These Boots Are Made For Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Oldies,Soul,Jazz,TV & movie soundtrack"
"Let Her Go";Passenger;2012;0;0;2012-12-14;Folk,Pop
"Wonderful Tonight";"Eric Clapton";1977;0;0;2007-12-27;Folk,Rock
"Vivo per lei";"Andrea Bocelli";1997;1;0;2008-01-09;"French pop,Duet,Love"
Hello;"Lionel Richie";1984;0;0;2012-02-02;"Love,Soft rock"
"Proud Mary";"Tina Turner";1971;0;0;2007-12-21;Gospel,Rock,Soul
"Lips Are Movin";"Meghan Trainor";2014;0;0;2014-11-21;Pop,Soul,Electro
"Blue Bayou";"The Mavericks";2007;0;0;2015-08-25;Country,Folk
"Mama's Broken Heart";"Miranda Lambert";2011;0;0;2012-03-18;Country
"House Of The Rising Sun";"The Animals";1964;0;0;2007-06-11;Rock,Blues
"Kick The Dust Up";"Luke Bryan";2015;0;0;2015-06-11;Country,Rock
Pontoon;"Little Big Town";2012;0;0;2012-07-27;Country
"When I Was Your Man";"Bruno Mars";2012;0;0;2013-01-07;Pop
"El perdón";"Nicky Jam";2015;1;0;2015-06-04;Pop,Latin,Duet
"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19;"TV & movie soundtrack,Love,Duet"
"El mismo sol";"Alvaro Soler";2015;0;0;2015-06-15;Pop,Latin
"Black Magic";"Little Mix";2015;0;0;2015-08-31;"Teen pop,Pop,R&B,Electro"
Radioactive;"Imagine Dragons";2013;0;0;2013-02-08;Alternative,Rock,Electro
"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02;Soul
"Oh Happy Day";"Sister Act";1993;0;0;2008-01-14;"Gospel,Musical,TV & movie soundtrack"
"Color Gitano";"Kendji Girac";2014;0;0;2014-08-07;"French pop,Latin"
"If I Ain't Got You";"Alicia Keys";2004;0;0;2007-06-25;Soul,Jazz
"Me And Bobby McGee";"Janis Joplin";1971;0;0;2011-05-31;Rock,Blues,Country
"You Raise Me Up";"Josh Groban";2003;0;0;2007-05-04;Pop,Christian
Treasure;"Bruno Mars";2012;0;0;2013-04-26;Funk,Pop,Soul
"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s"
"Ex's & Oh's";"Elle King";2014;0;0;2015-05-28;Rock,Alternative
"I'm Yours";"Jason Mraz";2008;0;0;2008-08-18;"Pop,Soft rock"
Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Pop,Teen pop"
"Let It Be";"The Beatles";1970;0;0;2011-10-28;Pop
Sangria;"Blake Shelton";2014;0;0;2015-06-08;Country
"Mag ik dan bij jou";"Jeroen van der Boom";2015;0;0;2015-07-21;"Schlager,Soft rock"
"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop
"All About That Bass";"Scott Bradlee's Postmodern Jukebox";2014;0;0;2014-12-29;Jazz,Pop,Soul
"Johnny B. Goode";"Chuck Berry";1958;0;0;2012-01-04;"Rock 'n Roll,Oldies"
Yesterday;"The Beatles";1965;0;0;2011-05-31;Pop,Love
"Love Me Tender";"Elvis Presley";1956;0;0;2007-05-04;Love,Oldies
"Just Give Me A Reason";Pink;2012;1;0;2012-11-29;"Pop,Duet,Soft rock"
