Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Wildest Dreams";"Taylor Swift";2014;0;0;2014-12-30;Pop,Electro
Bailando;"Enrique Iglesias";2014;0;0;2014-07-07;Latin,Pop,Reggae
Imagine;"John Lennon";1971;0;0;2007-05-15;"Pop,Soft rock"
"Santa Claus Is Coming To Town";"Christmas Carol";1934;0;0;2012-09-13;Christmas,Traditionnal
"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Love,Pop"
"Blank Space";"Taylor Swift";2014;0;0;2015-01-12;Pop
Chandelier;Sia;2014;0;0;2014-05-26;Pop,R&B
"Stand By Me";"Ben E. King";1961;0;0;2008-07-25;Soul
"At Last";"Etta James";1961;0;0;2008-02-07;Soul,Oldies,Blues
"This Is Halloween";"The Nightmare Before Christmas";1993;0;0;2014-12-30;"TV & movie soundtrack,Christmas,Musical"
"Take Me To Church";Hozier;2013;0;0;2014-10-17;Soul,Rock
"Black Magic";"Little Mix";2015;0;0;2015-08-31;"Teen pop,Pop,R&B,Electro"
"Sur ma route";"Black M";2014;0;0;2014-11-03;"French pop,Rap,Dance"
"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet"
"Highway To Hell";AC/DC;1979;0;0;2011-05-31;Hard/Metal,Rock
"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock"
"Love Me Like You Do";"Ellie Goulding";2014;0;0;2015-01-29;"Pop,Electro,TV & movie soundtrack"
Budapest;"George Ezra";2013;0;0;2014-03-26;"Alternative,Folk,Soft rock"
"I Love Rock 'N Roll";"Joan Jett";1981;0;0;2007-05-04;Rock
"Locked Away";"Adam Levine";2015;0;0;2015-10-20;Pop,R&B
Jackson;"Johnny Cash";1968;1;0;2012-02-14;Country,Duet
"Unchained Melody";"The Righteous Brothers";1965;0;0;2007-05-04;Love,Soul,Oldies
"Want To Want Me";"Jason Derülo";2015;0;0;2015-05-18;Pop,R&B,Electro
"Your Song";"Elton John";1969;0;0;2011-10-28;Pop,Love
"Atemlos durch die Nacht";"Helene Fischer";2013;0;0;2014-03-13;Schlager
"O Holy Night";"Christmas Carol";1847;0;0;2011-05-30;Christmas,Christian,Traditionnal
Superstition;"Stevie Wonder";1972;0;0;2007-05-04;Funk
"These Boots Are Made For Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Oldies,Soul,Jazz,TV & movie soundtrack"
"Bad Moon Rising";"Creedence Clearwater Revival";1968;0;0;2007-05-04;Rock
"Jingle Bells (jazzy version)";"Christmas Carol";1857;0;0;2011-05-31;Christmas,Traditionnal,Jazz
"Place des grands hommes";"Patrick Bruel";1989;0;0;2013-12-09;"French pop"
"Let It Be";"The Beatles";1970;0;0;2011-10-28;Pop
"What Do You Mean?";"Justin Bieber";2015;0;0;2015-10-30;Pop,Dance,Electro
"Bad Blood";"Taylor Swift";2014;0;0;2015-01-12;Pop,Electro
"Strip It Down";"Luke Bryan";2015;0;0;2015-09-29;"Country,Soft rock,Love"
"Jingle Bells (slow version)";"Christmas Carol";1857;0;0;2011-05-31;Christmas,Traditionnal
"Proud Mary";"Tina Turner";1971;0;0;2007-12-21;Gospel,Rock,Soul
"Vivo per lei";"Andrea Bocelli";1997;1;0;2008-01-09;"French pop,Duet,Love"
"House Of The Rising Sun";"The Animals";1964;0;0;2007-06-11;Rock,Blues
