Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Place des grands hommes";"Patrick Bruel";1989;0;0;2013-12-09;"French pop"
"Wagon Wheel";"Darius Rucker";2013;0;0;2013-07-01;Country
"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco
Budapest;"George Ezra";2013;0;0;2014-03-26;"Alternative,Folk,Soft rock"
"Sweet Child O'Mine";"Guns N' Roses";1990;0;0;2008-01-15;Rock,Hard/Metal
Bailando;"Enrique Iglesias";2014;0;0;2014-07-07;Latin,Pop,Reggae
"Mexico, Tequila and Me";"Alan Jackson";2015;0;0;2015-09-15;Country
"Auf uns";"Andreas Bourani";2014;0;0;2014-12-24;Pop,Rock
"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz
"Stand By Me";"Ben E. King";1961;0;0;2008-07-25;Soul
"El perdón";"Nicky Jam";2015;1;0;2015-06-04;Pop,Latin,Duet
"I Love Rock 'N Roll";"Joan Jett";1981;0;0;2007-05-04;Rock
Superstition;"Stevie Wonder";1972;0;0;2007-05-04;Funk
Summertime;"Ella Fitzgerald";1960;0;0;2008-05-06;Jazz,Soul
Chandelier;Sia;2014;0;0;2014-05-26;Pop,R&B
"Your Song";"Elton John";1969;0;0;2011-10-28;Pop,Love
"Proud Mary";"Tina Turner";1971;0;0;2007-12-21;Gospel,Rock,Soul
"Les sardines";"Patrick Sébastien";2006;0;0;2014-02-07;"French pop"
Stitches;"Shawn Mendes";2015;0;0;2015-07-01;Rock,Pop
Fever;"Peggy Lee";1958;0;0;2008-05-05;Jazz,Oldies
"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock
Imagine;"John Lennon";1971;0;0;2007-05-15;"Pop,Soft rock"
Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock
Homeless;"Marina Kaye";2014;0;0;2015-04-21;Pop,Dance
"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country
"Johnny B. Goode";"Chuck Berry";1958;0;0;2012-01-04;"Rock 'n Roll,Oldies"
"Let It Be";"The Beatles";1970;0;0;2011-10-28;Pop
"The Galway Girl Medley";"Ritchie Remo";2013;0;0;2015-09-15;Celtic,Country
"Ex's & Oh's";"Elle King";2014;0;0;2015-05-28;Rock,Alternative
"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock"
"My Heart Will Go On";"Céline Dion";1997;0;0;2007-05-04;"TV & movie soundtrack,Pop,Love"
Hello;"Lionel Richie";1984;0;0;2012-02-02;"Love,Soft rock"
"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock
"Get Lucky";"Daft Punk";2013;0;0;2013-04-30;Disco,Funk
"Mag ik dan bij jou";"Jeroen van der Boom";2015;0;0;2015-07-21;"Schlager,Soft rock"
"These Boots Are Made For Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Oldies,Soul,Jazz,TV & movie soundtrack"
"Back To Black";"Amy Winehouse";2006;0;0;2008-03-25;Soul
"Total Eclipse Of The Heart";"Bonnie Tyler";1983;0;0;2011-05-30;"Soft rock"
Jackson;"Johnny Cash";1968;1;0;2012-02-14;Country,Duet
"Wonderful Tonight";"Eric Clapton";1977;0;0;2007-12-27;Folk,Rock
"Have You Ever Seen The Rain?";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk
"You Raise Me Up";"Josh Groban";2003;0;0;2007-05-04;Pop,Christian
"House Of The Rising Sun";"The Animals";1964;0;0;2007-06-11;Rock,Blues
"Twinkle Twinkle Little Star";"Nursery Rhyme";1806;0;0;2008-06-26;Kids,Traditionnal
Rude;MAGIC!;2013;0;0;2014-01-20;Pop,Reggae
"I'm Yours";"Jason Mraz";2008;0;0;2008-08-18;"Pop,Soft rock"
Diamonds;Rihanna;2012;0;0;2012-12-06;Pop,Electro,Soul
Titanium;"David Guetta";2011;0;0;2012-05-09;Pop,Electro
"Vivo per lei";"Andrea Bocelli";1997;1;0;2008-01-09;"French pop,Duet,Love"
Emmenez-moi;"Charles Aznavour";1967;0;0;2011-07-29;"French pop"
Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Pop,Teen pop"
"El mismo sol";"Alvaro Soler";2015;0;0;2015-06-15;Pop,Latin
"Oh Happy Day";"Sister Act";1993;0;0;2008-01-14;"Gospel,Musical,TV & movie soundtrack"
"I Wanna Dance With Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s
"Femme libérée";"Cookie Dingler";1984;0;0;2014-04-22;"French pop"
"When I Was Your Man";"Bruno Mars";2012;0;0;2013-01-07;Pop
Y.M.C.A.;"Village People";1975;0;0;2011-05-30;Pop
"You're The One That I Want";Grease;1978;1;0;2008-08-25;"Rock 'n Roll,TV & movie soundtrack,Duet"
Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative
"Let Her Go";Passenger;2012;0;0;2012-12-14;Folk,Pop
"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s"
"Ain't No Sunshine";"Bill Withers";1971;0;0;2011-10-31;Soul,Blues
"I See Fire";"Ed Sheeran";2013;0;0;2013-11-22;"Folk,TV & movie soundtrack"
Christine;"Christine And The Queens";2014;0;0;2015-06-07;Pop,Electro
"Somewhere Over The Rainbow";"Judy Garland";1939;0;0;2011-05-31;"Musical,TV & movie soundtrack"
"Color Gitano";"Kendji Girac";2014;0;0;2014-08-07;"French pop,Latin"
"Mustang Sally";"The Commitments";1991;0;0;2008-07-17;"Soul,Blues,TV & movie soundtrack"
"Hey Jude";"The Beatles";1968;0;0;2007-06-05;Rock,Pop
"Me And Bobby McGee";"Janis Joplin";1971;0;0;2011-05-31;Rock,Blues,Country
"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet"
Manhattan-Kaboul;Renaud;2002;1;0;2013-10-08;"French pop,Duet"
"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19;"TV & movie soundtrack,Love,Duet"
Yesterday;"The Beatles";1965;0;0;2011-05-31;Pop,Love
"A Whole New World";Aladdin;1992;1;0;2015-03-24;"TV & movie soundtrack,Duet,Love"
Fly;"Maddie & Tae";2015;0;0;2015-05-27;"Country,Folk,Soft rock"
"Mama's Broken Heart";"Miranda Lambert";2011;0;0;2012-03-18;Country
"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02;Soul
"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;"Blues,Soft rock"
"Highway To Hell";AC/DC;1979;0;0;2011-05-31;Hard/Metal,Rock
"Rather Be";"Clean Bandit";2014;0;0;2014-03-19;Electro
Supergirl;"Alle Farben";2015;0;0;2015-06-23;Dance,Electro
Treasure;"Bruno Mars";2012;0;0;2013-04-26;Funk,Pop,Soul
"When The Saints Go Marching In (Big Band Version)";Traditional;1896;0;0;2011-05-30;Jazz,Oldies,Traditionnal
"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap
"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet"
"Valerie ('68 version)";"Amy Winehouse";2011;0;0;2012-07-18;Soul,Jazz
"California Dreamin'";Sia;2015;0;0;2015-06-26;"Pop,TV & movie soundtrack"
"Wrecking Ball";"Miley Cyrus";2013;0;0;2013-09-26;"Pop,Teen pop"
"All About That Bass";"Scott Bradlee's Postmodern Jukebox";2014;0;0;2014-12-29;Jazz,Pop,Soul
"Counting Stars";OneRepublic;2013;0;0;2013-07-17;Pop,Rock
"Tears In Heaven";"Eric Clapton";1992;0;0;2007-05-29;Blues,Folk
"Jar Of Hearts";"Christina Perri";2010;0;0;2011-05-30;"Soft rock,Pop"
"Stole The Show";Kygo;2015;0;0;2015-09-07;Electro
"If I Ain't Got You";"Alicia Keys";2004;0;0;2007-06-25;Soul,Jazz
Radioactive;"Imagine Dragons";2013;0;0;2013-02-08;Alternative,Rock,Electro
L'aventurier;Indochine;1982;0;0;2014-05-28;"French pop,80s"
"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop
"Waiting For Love";Avicii;2015;0;0;2015-09-07;Dance,Pop,Electro
Soulman;"Ben L'Oncle Soul";2010;0;0;2011-06-14;"French pop,Soul"
Clown;Soprano;2015;0;0;2015-06-08;"French pop,Rap,Electro"
"Signed Sealed And Delivered (I'm Yours)";"Stevie Wonder";1970;0;0;2011-05-31;Soul,Pop
"Girls Just Wanna Have Fun";"Cyndi Lauper";1983;0;0;2008-01-14;"80s,Pop,TV & movie soundtrack"
"Just Give Me A Reason";Pink;2012;1;0;2012-11-29;"Pop,Duet,Soft rock"
"Can You Feel The Love Tonight";"Elton John";1994;0;0;2015-06-11;"TV & movie soundtrack,Soft rock,Pop"
Reality;"Lost Frequencies";2015;0;0;2015-07-11;Pop,Electro,Dance
"See You Again (Piano Version)";"Charlie Puth";2015;0;0;2015-06-26;Pop
"Lips Are Movin";"Meghan Trainor";2014;0;0;2014-11-21;Pop,Soul,Electro
"Don't Stop Me Now";Queen;1978;0;0;2007-09-03;Rock,Pop
Celebration;"Kool And The Gang";1980;0;0;2007-05-31;Funk,Disco
"Eye Of The Tiger";Survivor;1982;0;0;2014-03-07;"Rock,TV & movie soundtrack"
"Jingle Bells";"Christmas Carol";1857;0;0;2008-06-26;Christmas,Traditionnal,Kids
Pontoon;"Little Big Town";2012;0;0;2012-07-27;Country
Rehab;"Amy Winehouse";2006;0;0;2007-10-18;Soul
Royals;Lorde;2013;0;0;2013-07-12;Pop,Alternative,Electro
"Turn The Page";"Bob Seger";1976;0;0;2011-05-31;Rock
Sangria;"Blake Shelton";2014;0;0;2015-06-08;Country
"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop"
September;"Earth, Wind & Fire";1978;0;0;2008-07-23;Disco,Funk
"You Shook Me All Night Long";AC/DC;1980;0;0;2007-07-16;Hard/Metal,Rock
"Crazy Little Thing Called Love";Queen;1980;0;0;2007-05-04;Rock
"Hit The Road Jack";"Ray Charles";1960;0;0;2007-05-04;"Blues,Rock 'n Roll,Soul"
