Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"It's The Most Wonderful Time Of The Year";"Andy Williams";1963;0;0;2011-11-03;Christmas
"Winter Wonderland";"Michael Bublé";2011;0;0;2011-11-16;Christmas,Jazz
"Summer Nights";Grease;1978;1;0;2008-07-17;"TV & movie soundtrack,Rock 'n Roll,Pop,Oldies,Duet"
"Cheerleader (Felix Jaehn Remix)";OMI;2014;0;0;2015-03-01;Pop,Electro,Reggae
"White Christmas";"Michael Bublé";2003;0;0;2011-07-21;Christmas,Jazz
"Let It Snow, Let It Snow, Let It Snow";"Lady Antebellum";2010;0;0;2011-12-12;Christmas,Country
"Watch Me (Whip / Nae Nae)";Silentó;2015;0;0;2015-09-22;Rap
"Silent Night";"Michael Bublé";2011;0;0;2011-11-22;Christmas
"Stay With Me";"Sam Smith";2014;0;0;2014-04-24;Pop,Soul
"It's Beginning To Look A Lot Like Christmas";"Michael Bublé";2011;0;0;2011-11-14;Christmas,Jazz
"O Tannenbaum";"Christmas Carol";1824;0;0;2008-06-26;Christmas,Traditionnal,Kids
"O Holy Night";"Josh Groban";2006;0;0;2011-12-06;Christmas,Classical
"I'm Not The Only One";"Sam Smith";2014;0;0;2014-07-22;Pop,Soul
"Ring Of Fire";"Johnny Cash";1963;0;0;2012-01-04;"Country,Rock 'n Roll"
"Fly Me To The Moon";"Frank Sinatra";1964;0;0;2008-07-18;Jazz
"Douce nuit, sainte nuit";"Christmas Carol";1818;0;0;2008-06-26;Christmas,Christian,Traditionnal,Kids
"Carol Of The Bells";"Christmas Carol";1916;0;0;2011-05-31;Christmas,Traditionnal
"My Way";"Frank Sinatra";1969;0;0;2007-05-29;Oldies
"Santa Claus Is Comin' To Town";"Mariah Carey";1994;0;0;2011-05-30;Christmas,Pop
"We Wish You A Merry Christmas (alternate version)";"Christmas Carol";1600;0;0;2011-11-02;Christmas,Traditionnal
"I Wish It Could Be Christmas Everyday";Wizzard;1973;0;0;2011-12-27;Christmas,Pop
